name;color;cmc;type;subtype;set;rarity;text;power;toughness;price_usd;price_eur;price_usd_foil;year
Dissipation Field;U;4;Enchantment;;som;rare;Whenever a permanent deals damage to you, return it to its owner's hand.;;;2.05;0.6;4.13;2010
Living Wish;G;2;Sorcery;;jud;rare;You may reveal a creature or land card you own from outside the game and put it into your hand. Exile Living Wish.;;;1.56;1.25;25.00;2002
Chill;U;2;Enchantment;;6ed;uncommon;Red spells cost {2} more to cast.;;;0.26;0.29;;1999
Lashknife Barrier;W;3;Enchantment;;pls;uncommon;"When Lashknife Barrier enters the battlefield, draw a card.
If a source would deal damage to a creature you control, it deals that much damage minus 1 to that creature instead.";;;0.21;0.19;1.49;2001
Dromar's Attendant;BUW;5;Artifact Creature;Golem;inv;uncommon;{1}, Sacrifice Dromar's Attendant: Add {W}{U}{B}.;3;3;0.16;0.13;0.45;2000
Abstruse Interference;U;3;Instant;;ogw;common;"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)";;;0.06;0.13;0.14;2016
Thousand Winds;U;6;Creature;Elemental;ktk;rare;"Flying
Morph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Thousand Winds is turned face up, return all other tapped creatures to their owners' hands.";5;6;0.13;0.1;0.41;2014
Rafiq of the Many;GUW;4;Legendary Creature;Human Knight;ala;mythic;"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Whenever a creature you control attacks alone, it gains double strike until end of turn.";3;3;7.82;1.49;21.21;2008
Second Sight;U;3;Instant;;dst;uncommon;"Choose one —
• Look at the top five cards of target opponent's library, then put them back in any order.
• Look at the top five cards of your library, then put them back in any order.
Entwine {U} (Choose both if you pay the entwine cost.)";;;0.15;0.18;0.26;2004
Lightning Reaver;BR;5;Creature;Zombie Beast;arb;rare;"Haste; fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Whenever Lightning Reaver deals combat damage to a player, put a charge counter on it.
At the beginning of your end step, Lightning Reaver deals damage equal to the number of charge counters on it to each opponent.";3;3;0.77;0.1;1.66;2009
Golgari Germination;BG;3;Enchantment;;rav;uncommon;Whenever a nontoken creature you control dies, create a 1/1 green Saproling creature token.;;;0.28;0.2;0.95;2005
Imposing Visage;R;1;Enchantment;Aura;5ed;common;"Enchant creature
Enchanted creature has menace. (It can't be blocked except by two or more creatures.)";;;0.12;0.5;;1997
O-Naginata;;1;Artifact;Equipment;sok;uncommon;"O-Naginata can be attached only to a creature with power 3 or greater.
Equipped creature gets +3/+0 and has trample.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)";;;1.68;1.37;7.14;2005
Misty Rainforest;;0;Land;;zen;rare;{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle your library.;;;64.24;44.95;164.67;2009
Cobbled Wings;;2;Artifact;Equipment;isd;common;"Equipped creature has flying.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)";;;0.09;0.01;0.16;2011
Oona, Queen of the Fae;BU;6;Legendary Creature;Faerie Wizard;shm;rare;"Flying
{X}{U/B}: Choose a color. Target opponent exiles the top X cards of their library. For each card of the chosen color exiled this way, create a 1/1 blue and black Faerie Rogue creature token with flying.";5;5;9.57;4.99;56.65;2008
Torbran, Thane of Red Fell;R;4;Legendary Creature;Dwarf Noble;eld;rare;If a red source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.;2;4;8.48;4.35;30.11;2019
Twist Allegiance;R;7;Sorcery;;bok;rare;You and target opponent each gain control of all creatures the other controls until end of turn. Untap those creatures. Those creatures gain haste until end of turn.;;;0.45;0.15;;2005
Sundering Stroke;R;7;Sorcery;;eld;rare;Sundering Stroke deals 7 damage divided as you choose among one, two, or three targets. If at least seven red mana was spent to cast this spell, instead Sundering Stroke deals 7 damage to each of those permanents and/or players.;;;0.12;0.13;0.21;2019
Prismatic Ward;W;2;Enchantment;Aura;5ed;common;"Enchant creature
As Prismatic Ward enters the battlefield, choose a color.
Prevent all damage that would be dealt to enchanted creature by sources of the chosen color.";;;0.1;0.1;;1997
Fatal Lore;B;4;Sorcery;;all;rare;"An opponent chooses one —
• You draw three cards.
• You destroy up to two target creatures that player controls. They can't be regenerated. That player draws up to three cards.";;;0.5;0.3;;1996
Shorecrasher Mimic;GU;2;Creature;Shapeshifter;eve;common;Whenever you cast a spell that's both green and blue, Shorecrasher Mimic has base power and toughness 5/3 until end of turn and gains trample until end of turn.;2;1;0.08;0.02;0.48;2008
Boon of Emrakul;B;3;Enchantment;Aura;emn;common;"Enchant creature
Enchanted creature gets +3/-3.";;;0.04;0.05;;2016
Deeproot Waters;U;3;Enchantment;;xln;uncommon;Whenever you cast a Merfolk spell, create a 1/1 blue Merfolk creature token with hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.);;;0.25;0.08;0.92;2017
Eat to Extinction;B;4;Instant;;thb;rare;Exile target creature or planeswalker. Look at the top card of your library. You may put that card into your graveyard.;;;1.06;0.5;2.73;2020
Lazav, the Multifarious;BU;2;Legendary Creature;Shapeshifter;grn;mythic;"When Lazav, the Multifarious enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{X}: Lazav, the Multifarious becomes a copy of target creature card in your graveyard with converted mana cost X, except its name is Lazav, the Multifarious, it's legendary in addition to its other types, and it has this ability.";1;3;1.57;1.54;7.15;2018
Nullhide Ferox;G;4;Creature;Beast;grn;mythic;"Hexproof
You can't cast noncreature spells.
{2}: Nullhide Ferox loses all abilities until end of turn. Any player may activate this ability.
If a spell or ability an opponent controls causes you to discard Nullhide Ferox, put it onto the battlefield instead of putting it into your graveyard.";6;6;0.47;0.69;2.33;2018
Highborn Vampire;B;4;Creature;Vampire Warrior;znr;common;;4;3;0.02;0.02;0.06;2020
Grim Contest;BG;3;Instant;;frf;common;Choose target creature you control and target creature an opponent controls. Each of those creatures deals damage equal to its toughness to the other.;;;0.1;0.02;0.26;2015
Pit Imp;B;1;Creature;Imp;tmp;common;"Flying
{B}: Pit Imp gets +1/+0 until end of turn. Activate this ability no more than twice each turn.";0;1;0.13;0.02;;1997
Frillscare Mentor;R;3;Creature;Human Warrior;iko;uncommon;"When Frillscare Mentor enters the battlefield, put a menace counter on target non-Human creature you control. (It can't be blocked except by two or more creatures.)
{2}{R}, {T}: Put a +1/+1 counter on each creature you control with menace.";3;2;0.04;0.25;0.11;2020
Foul Imp;B;2;Creature;Imp;9ed;common;"Flying
When Foul Imp enters the battlefield, you lose 2 life.";2;2;0.14;0.05;;2005
Ruby Medallion;;2;Artifact;;tmp;rare;Red spells you cast cost {1} less to cast.;;;19.22;14.0;;1997
Gaze of Justice;W;1;Sorcery;;tsp;common;"As an additional cost to cast this spell, tap three untapped white creatures you control.
Exile target creature.
Flashback {5}{W} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)";;;0.11;0.02;0.42;2006
Power Leak;U;2;Enchantment;Aura;4bb;common;"Enchant enchantment
At the beginning of the upkeep of enchanted enchantment's controller, that player may pay any amount of mana. Power Leak deals 2 damage to that player. Prevent X of that damage, where X is the amount of mana that player paid this way.";;;;;;1995
Solemn Offering;W;3;Sorcery;;m15;common;Destroy target artifact or enchantment. You gain 4 life.;;;0.07;0.04;0.19;2014
Steel Leaf Champion;G;3;Creature;Elf Knight;dom;rare;Steel Leaf Champion can't be blocked by creatures with power 2 or less.;5;4;1.52;1.19;2.35;2018
Goblin Snowman;R;4;Creature;Goblin;tsb;rare;"Whenever Goblin Snowman blocks, prevent all combat damage that would be dealt to and dealt by it this turn.
{T}: Goblin Snowman deals 1 damage to target creature it's blocking.";1;1;0.22;0.18;6.49;2006
Storm Elemental;U;6;Creature;Elemental;all;uncommon;"Flying
{U}, Exile the top card of your library: Tap target creature with flying.
{U}, Exile the top card of your library: If the exiled card is a snow land, Storm Elemental gets +1/+1 until end of turn.";3;4;0.12;0.19;;1996
Glory-Bound Initiate;W;2;Creature;Human Warrior;akh;rare;You may exert Glory-Bound Initiate as it attacks. When you do, it gets +1/+3 and gains lifelink until end of turn. (An exerted creature won't untap during your next untap step.);3;1;0.22;0.99;0.66;2017
Commanding Presence;W;4;Enchantment;Aura;thb;uncommon;"Enchant creature
Enchanted creature gets +2/+2 and has first strike and ""Whenever this creature deals combat damage to a player, create a 1/1 white Human Soldier creature token.""";;;0.04;0.14;0.14;2020
Oblivion Strike;B;4;Sorcery;;ogw;common;"Devoid (This card has no color.)
Exile target creature.";;;0.07;0.05;0.24;2016
Souls of the Faultless;BW;3;Creature;Spirit;gpt;uncommon;"Defender (This creature can't attack.)
Whenever Souls of the Faultless is dealt combat damage, you gain that much life and attacking player loses that much life.";0;4;0.6;0.47;1.76;2006
Changeling Hero;W;5;Creature;Shapeshifter;lrw;uncommon;"Changeling (This card is every creature type.)
Champion a creature (When this enters the battlefield, sacrifice it unless you exile another creature you control. When this leaves the battlefield, that card returns to the battlefield.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)";4;4;0.34;0.02;3.79;2007
Nightscape Familiar;B;2;Creature;Zombie;pls;common;"Blue spells and red spells you cast cost {1} less to cast.
{1}{B}: Regenerate Nightscape Familiar.";1;1;0.34;0.31;14.41;2001
Plated Slagwurm;G;7;Creature;Wurm;mrd;rare;Hexproof (This creature can't be the target of spells or abilities your opponents control.);8;8;0.23;0.02;0.88;2003
Cephalid Vandal;U;2;Creature;Cephalid Rogue;tor;rare;At the beginning of your upkeep, put a shred counter on Cephalid Vandal. Then mill a card for each shred counter on Cephalid Vandal.;1;1;0.26;0.15;1.51;2002
Final Judgment;W;6;Sorcery;;bok;rare;Exile all creatures.;;;2.68;1.35;11.42;2005
Ember Beast;R;3;Creature;Beast;ody;common;Ember Beast can't attack or block alone.;3;4;0.04;0.02;0.28;2001
Barbed Lightning;R;3;Instant;;dst;common;"Choose one —
• Barbed Lightning deals 3 damage to target creature.
• Barbed Lightning deals 3 damage to target player or planeswalker.
Entwine {2} (Choose both if you pay the entwine cost.)";;;0.08;0.15;0.26;2004
Stronghold Discipline;B;4;Sorcery;;10e;uncommon;Each player loses 1 life for each creature they control.;;;0.09;0.02;;2007
Hewed Stone Retainers;;3;Artifact Creature;Golem;frf;uncommon;Cast this spell only if you've cast another spell this turn.;4;4;0.1;0.13;0.24;2015
Hostile Desert;;0;Land;Desert;hou;rare;"{T}: Add {C}.
{2}, Exile a land card from your graveyard: Hostile Desert becomes a 3/4 Elemental creature until end of turn. It's still a land.";;;0.21;0.16;0.67;2017
Ramosian Revivalist;W;4;Creature;Human Rebel Cleric;fut;uncommon;{6}, {T}: Return target Rebel permanent card with converted mana cost 5 or less from your graveyard to the battlefield.;2;2;0.15;0.05;0.63;2007
Woodland Champion;G;2;Creature;Elf Scout;m20;uncommon;Whenever one or more tokens enter the battlefield under your control, put that many +1/+1 counters on Woodland Champion.;2;2;0.07;0.08;0.30;2019
Favored Hoplite;W;1;Creature;Human Soldier;ths;uncommon;Heroic — Whenever you cast a spell that targets Favored Hoplite, put a +1/+1 counter on Favored Hoplite and prevent all damage that would be dealt to it this turn.;1;2;0.35;0.25;2.26;2013
Accursed Spirit;B;4;Creature;Spirit;m15;common;Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.);3;2;0.16;0.01;;2014
Phyrexian Altar;;3;Artifact;;inv;rare;Sacrifice a creature: Add one mana of any color.;;;42.5;29.98;194.43;2000
Marwyn, the Nurturer;G;3;Legendary Creature;Elf Druid;dom;rare;"Whenever another Elf enters the battlefield under your control, put a +1/+1 counter on Marwyn, the Nurturer.
{T}: Add an amount of {G} equal to Marwyn's power.";1;1;1.96;0.63;4.44;2018
Celestial Dawn;W;3;Enchantment;;tsb;rare;"Lands you control are Plains.
Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield.
You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.";;;1.27;0.27;4.64;2006
Hedron Archive;;4;Artifact;;bfz;uncommon;"{T}: Add {C}{C}.
{2}, {T}, Sacrifice Hedron Archive: Draw two cards.";;;0.62;0.37;4.70;2015
Veiled Serpent;U;3;Enchantment;;usg;common;"When an opponent casts a spell, if Veiled Serpent is an enchantment, Veiled Serpent becomes a 4/4 Serpent creature with ""This creature can't attack unless defending player controls an Island.""
Cycling {2} ({2}, Discard this card: Draw a card.)";;;0.11;0.1;;1998
Alchemist's Vial;;2;Artifact;;ori;common;"When Alchemist's Vial enters the battlefield, draw a card.
{1}, {T}, Sacrifice Alchemist's Vial: Target creature can't attack or block this turn.";;;0.23;0.23;0.82;2015
Compost;G;2;Enchantment;;uds;uncommon;Whenever a black card is put into an opponent's graveyard from anywhere, you may draw a card.;;;1.8;0.24;27.25;1999
Master Transmuter;U;4;Artifact Creature;Human Artificer;con;rare;{U}, {T}, Return an artifact you control to its owner's hand: You may put an artifact card from your hand onto the battlefield.;1;2;6.7;1.95;28.27;2009
Nighthowler;B;3;Enchantment Creature;Horror;ths;rare;"Bestow {2}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Nighthowler and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards.";0;0;0.31;0.27;1.05;2013
Broken Concentration;U;3;Instant;;soi;uncommon;"Counter target spell.
Madness {3}{U} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)";;;0.11;0.01;0.26;2016
Brooding Saurian;G;4;Creature;Lizard;csp;rare;At the beginning of each end step, each player gains control of all nontoken permanents they own.;4;4;0.25;0.12;2.46;2006
Furious Rise;R;3;Enchantment;;thb;uncommon;At the beginning of your end step, if you control a creature with power 4 or greater, exile the top card of your library. You may play that card until you exile another card with Furious Rise.;;;0.07;0.03;0.20;2020
Chandra's Fury;R;5;Instant;;m13;common;Chandra's Fury deals 4 damage to target player or planeswalker and 1 damage to each creature that player or that planeswalker's controller controls.;;;0.07;0.01;0.25;2012
Village Elder;G;1;Creature;Human Druid;mir;common;{G}, {T}, Sacrifice a Forest: Regenerate target creature.;1;1;0.09;0.07;;1996
Bogardan Phoenix;R;5;Creature;Phoenix;vis;rare;"Flying
When Bogardan Phoenix dies, exile it if it had a death counter on it. Otherwise, return it to the battlefield under your control and put a death counter on it.";3;3;0.58;0.81;;1997
Valduk, Keeper of the Flame;R;3;Legendary Creature;Human Shaman;dom;uncommon;At the beginning of combat on your turn, for each Aura and Equipment attached to Valduk, Keeper of the Flame, create a 3/1 red Elemental creature token with trample and haste. Exile those tokens at the beginning of the next end step.;3;2;0.21;0.1;0.66;2018
Goblin Chieftain;R;3;Creature;Goblin;m12;rare;"Haste (This creature can attack and {T} as soon as it comes under your control.)
Other Goblin creatures you control get +1/+1 and have haste.";2;2;3.04;2.23;6.63;2011
Enchantment Alteration;U;1;Instant;;usg;uncommon;Attach target Aura attached to a creature or land to another permanent of that type.;;;0.16;0.1;;1998
Hallowed Healer;W;3;Creature;Human Cleric;ody;common;"{T}: Prevent the next 2 damage that would be dealt to any target this turn.
Threshold — {T}: Prevent the next 4 damage that would be dealt to any target this turn. Activate this ability only if seven or more cards are in your graveyard.";1;1;0.13;0.09;0.28;2001
Typhoon;G;3;Sorcery;;leg;rare;Typhoon deals damage to each opponent equal to the number of Islands that player controls.;;;14.68;12.55;;1994
Ebon Drake;B;3;Creature;Drake;5dn;uncommon;"Flying
Whenever a player casts a spell, you lose 1 life.";3;3;0.19;0.09;0.41;2004
Monsoon;GR;4;Enchantment;;ice;rare;At the beginning of each player's end step, tap all untapped Islands that player controls and Monsoon deals X damage to the player, where X is the number of Islands tapped this way.;;;0.34;0.25;;1995
Evolving Wilds;;0;Land;;m15;common;{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.;;;0.12;0.09;0.47;2014
Psionic Sliver;U;5;Creature;Sliver;tsp;rare;"All Sliver creatures have ""{T}: This creature deals 2 damage to any target and 3 damage to itself.""";2;2;2.98;1.08;14.40;2006
Radiate;R;5;Instant;;tor;rare;Choose target instant or sorcery spell that targets only a single permanent or player. Copy that spell for each other permanent or player the spell could target. Each copy targets a different one of those permanents and players.;;;2.57;0.3;8.62;2002
Maga, Traitor to Mortals;B;3;Legendary Creature;Human Wizard;sok;rare;"Maga, Traitor to Mortals enters the battlefield with X +1/+1 counters on it.
When Maga enters the battlefield, target player loses life equal to the number of +1/+1 counters on it.";0;0;3.39;0.95;18.14;2005
Cabal Interrogator;B;2;Creature;Zombie Wizard;scg;uncommon;{X}{B}, {T}: Target player reveals X cards from their hand and you choose one of them. That player discards that card. Activate this ability only any time you could cast a sorcery.;1;1;0.24;0.15;1.35;2003
Hellspark Elemental;R;2;Creature;Elemental;con;uncommon;"Trample, haste
At the beginning of the end step, sacrifice Hellspark Elemental.
Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)";3;1;0.7;0.3;0.80;2009
Undercity Necrolisk;B;4;Creature;Zombie Lizard;grn;uncommon;{1}, Sacrifice another creature: Put a +1/+1 counter on Undercity Necrolisk. It gains menace until end of turn. Activate this ability only any time you could cast a sorcery. (It can't be blocked except by two or more creatures.);3;3;0.04;0.02;0.12;2018
Necromaster Dragon;BU;5;Creature;Dragon;dtk;rare;"Flying
Whenever Necromaster Dragon deals combat damage to a player, you may pay {2}. If you do, create a 2/2 black Zombie creature token and each opponent mills two cards.";4;4;0.36;0.12;0.81;2015
Sword-Point Diplomacy;B;3;Sorcery;;xln;rare;Reveal the top three cards of your library. For each of those cards, put that card into your hand unless any opponent pays 3 life. Then exile the rest.;;;0.18;0.15;0.45;2017
Saproling Migration;G;2;Sorcery;;dom;common;"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Create two 1/1 green Saproling creature tokens. If this spell was kicked, create four of those tokens instead.";;;0.14;0.06;0.67;2018
Irencrag Feat;R;4;Sorcery;;eld;rare;Add seven {R}. You can cast only one more spell this turn.;;;1.64;0.8;8.16;2019
Dream Thrush;U;2;Creature;Bird;inv;common;"Flying
{T}: Target land becomes the basic land type of your choice until end of turn.";1;1;0.16;0.02;0.43;2000
Darkwater Catacombs;BU;0;Land;;ody;rare;{1}, {T}: Add {U}{B}.;;;2.36;3.0;23.27;2001
Roc Hatchling;R;1;Creature;Bird;wth;uncommon;"Roc Hatchling enters the battlefield with four shell counters on it.
At the beginning of your upkeep, remove a shell counter from Roc Hatchling.
As long as Roc Hatchling has no shell counters on it, it gets +3/+2 and has flying.";0;1;0.14;0.06;;1997
Task Mage Assembly;R;3;Enchantment;;pcy;rare;"When there are no creatures on the battlefield, sacrifice Task Mage Assembly.
{2}: Task Mage Assembly deals 1 damage to target creature. Any player may activate this ability but only any time they could cast a sorcery.";;;0.23;0.15;1.29;2000
Code of Constraint;U;3;Instant;;rna;uncommon;"Target creature gets -4/-0 until end of turn.
Draw a card.
Addendum — If you cast this spell during your main phase, tap that creature and it doesn't untap during its controller's next untap step.";;;0.08;0.01;0.17;2019
Gluttonous Slime;G;3;Creature;Ooze;con;uncommon;"Flash
Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)";2;2;0.15;0.12;0.30;2009
Sea Monster;U;6;Creature;Serpent;7ed;common;Sea Monster can't attack unless defending player controls an Island.;6;6;0.21;0.02;1.03;2001
Hideous Visage;B;3;Sorcery;;m12;common;Creatures you control gain intimidate until end of turn. (Each of those creatures can't be blocked except by artifact creatures and/or creatures that share a color with it.);;;0.08;0.14;0.15;2011
Words of War;R;3;Enchantment;;ons;rare;{1}: The next time you would draw a card this turn, Words of War deals 2 damage to any target instead.;;;0.46;0.65;2.54;2002
War-Torch Goblin;R;1;Creature;Goblin Warrior;rav;common;{R}, Sacrifice War-Torch Goblin: It deals 2 damage to target blocking creature.;1;1;0.07;0.05;;2005
Grakmaw, Skyclave Ravager;BG;3;Legendary Creature;Hydra Horror;znr;rare;"Grakmaw, Skyclave Ravager enters the battlefield with three +1/+1 counters on it.
Whenever another creature you control dies, if it had a +1/+1 counter on it, put a +1/+1 counter on Grakmaw.
When Grakmaw dies, create an X/X black and green Hydra creature token, where X is the number of +1/+1 counters on Grakmaw.";0;0;0.43;0.53;0.78;2020
Tigereye Cameo;GW;3;Artifact;;inv;uncommon;{T}: Add {G} or {W}.;;;0.18;0.14;0.77;2000
Graf Mole;G;3;Creature;Mole Beast;soi;uncommon;Whenever you sacrifice a Clue, you gain 3 life.;2;4;0.08;0.01;0.05;2016
Momir Vig, Simic Visionary;GU;5;Legendary Creature;Elf Wizard;dis;rare;"Whenever you cast a green creature spell, you may search your library for a creature card and reveal it. If you do, shuffle your library and put that card on top of it.
Whenever you cast a blue creature spell, reveal the top card of your library. If it's a creature card, put that card into your hand.";2;2;2.25;1.1;17.98;2006
Knight of Valor;W;3;Creature;Human Knight;vis;common;"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
{1}{W}: Each creature without flanking blocking Knight of Valor gets -1/-1 until end of turn. Activate this ability only once each turn.";2;2;0.1;0.05;;1997
Tormenting Voice;R;2;Sorcery;;ktk;common;"As an additional cost to cast this spell, discard a card.
Draw two cards.";;;0.08;0.05;0.37;2014
Aesthir Glider;;3;Artifact Creature;Bird Construct;dom;common;"Flying
Aesthir Glider can't block.";2;1;0.05;0.08;0.18;2018
Gaea's Cradle;G;0;Legendary Land;;usg;rare;{T}: Add {G} for each creature you control.;;;665.63;360.0;;1998
Starved Rusalka;G;1;Creature;Spirit;gpt;uncommon;{G}, Sacrifice a creature: You gain 1 life.;1;1;0.11;0.15;0.43;2006
Cartel Aristocrat;BW;2;Creature;Human Advisor;gtc;uncommon;Sacrifice another creature: Cartel Aristocrat gains protection from the color of your choice until end of turn.;2;2;0.29;0.4;2.23;2013
Swarmyard;;0;Land;;tsp;rare;"{T}: Add {C}.
{T}: Regenerate target Insect, Rat, Spider, or Squirrel.";;;19.2;9.69;40.95;2006
Crag Puca;RU;3;Creature;Shapeshifter;eve;uncommon;{U/R}: Switch Crag Puca's power and toughness until end of turn.;2;4;0.09;0.02;0.36;2008
Shriveling Rot;B;4;Instant;;dst;rare;"Choose one —
• Until end of turn, whenever a creature is dealt damage, destroy it.
• Until end of turn, whenever a creature dies, that creature's controller loses life equal to its toughness.
Entwine {2}{B} (Choose both if you pay the entwine cost.)";;;0.28;0.1;0.91;2004
Corpseweft;B;3;Enchantment;;dtk;rare;{1}{B}, Exile one or more creature cards from your graveyard: Create a tapped X/X black Zombie Horror creature token, where X is twice the number of cards exiled this way.;;;0.11;0.1;0.30;2015
Nissa, Who Shakes the World;G;5;Legendary Planeswalker;Nissa;war;rare;"Whenever you tap a Forest for mana, add an additional {G}.
+1: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land.
−8: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle your library.";;;14.32;9.89;286.73;2019
Yotian Soldier;;3;Artifact Creature;Soldier;4bb;common;Vigilance;1;4;;;;1995
Font of Fortunes;U;2;Enchantment;;jou;common;{1}{U}, Sacrifice Font of Fortunes: Draw two cards.;;;0.07;0.01;0.17;2014
Braingeyser;U;2;Sorcery;;sum;rare;Target player draws X cards.;;;;;;1994
Soratami Cloud Chariot;;5;Artifact;;sok;uncommon;"{2}: Target creature you control gains flying until end of turn.
{2}: Prevent all combat damage that would be dealt to and dealt by target creature you control this turn.";;;0.2;0.03;0.44;2005
Fury Charm;R;2;Instant;;plc;common;"Choose one —
• Destroy target artifact.
• Target creature gets +1/+1 and gains trample until end of turn.
• Remove two time counters from target permanent or suspended card.";;;0.11;0.02;1.12;2007
Aether Hub;;0;Land;;kld;uncommon;"When Aether Hub enters the battlefield, you get {E} (an energy counter).
{T}: Add {C}.
{T}, Pay {E}: Add one mana of any color.";;;0.16;0.15;0.68;2016
Apes of Rath;G;4;Creature;Ape;tmp;uncommon;Whenever Apes of Rath attacks, it doesn't untap during its controller's next untap step.;5;4;0.19;0.08;;1997
Disallow;U;3;Instant;;aer;rare;Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.);;;5.12;2.99;7.36;2017
Wingmate Roc;W;5;Creature;Bird;ktk;mythic;"Flying
Raid — When Wingmate Roc enters the battlefield, if you attacked this turn, create a 3/4 white Bird creature token with flying.
Whenever Wingmate Roc attacks, you gain 1 life for each attacking creature.";3;4;0.48;0.22;1.12;2014
Willbender;U;2;Creature;Human Wizard;tsb;rare;"Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Willbender is turned face up, change the target of target spell or ability with a single target.";1;2;0.22;0.02;0.33;2006
Opt;U;1;Instant;;dom;common;"Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Draw a card.";;;0.12;0.02;0.88;2018
Goblin Rock Sled;R;2;Creature;Goblin;4ed;common;"Trample
Goblin Rock Sled doesn't untap during your untap step if it attacked during your last turn.
Goblin Rock Sled can't attack unless defending player controls a Mountain.";3;1;0.1;0.08;;1995
Nimble Obstructionist;U;3;Creature;Bird Wizard;hou;rare;"Flash
Flying
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Nimble Obstructionist, counter target activated or triggered ability you don't control.";3;1;0.35;0.53;3.29;2017
Coat of Arms;;5;Artifact;;10e;rare;Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.);;;8.39;2.7;;2007
Extirpate;B;1;Instant;;plc;rare;"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Choose target card in a graveyard other than a basic land card. Search its owner's graveyard, hand, and library for all cards with the same name as that card and exile them. Then that player shuffles their library.";;;3.2;2.15;15.45;2007
Army of the Damned;B;8;Sorcery;;isd;mythic;"Create thirteen tapped 2/2 black Zombie creature tokens.
Flashback {7}{B}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";;;1.49;0.89;6.26;2011
Offering to Asha;UW;4;Instant;;arb;common;Counter target spell unless its controller pays {4}. You gain 4 life.;;;0.09;0.15;0.23;2009
Porcelain Legionnaire;W;3;Artifact Creature;Soldier;nph;common;"({W/P} can be paid with either {W} or 2 life.)
First strike";3;1;0.11;0.05;5.21;2011
Viashino Fangtail;R;4;Creature;Viashino Warrior;rav;common;{T}: Viashino Fangtail deals 1 damage to any target.;3;3;0.09;0.12;;2005
Parhelion II;W;8;Legendary Artifact;Vehicle;war;rare;"Flying, first strike, vigilance
Whenever Parhelion II attacks, create two 4/4 white Angel creature tokens with flying and vigilance that are attacking.
Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)";5;5;0.24;0.14;1.01;2019
Delif's Cone;;0;Artifact;;fem;uncommon;{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.;;;0.16;0.43;;1994
Leyline of Sanctity;W;4;Enchantment;;m11;rare;"If Leyline of Sanctity is in your opening hand, you may begin the game with it on the battlefield.
You have hexproof. (You can't be the target of spells or abilities your opponents control.)";;;2.39;2.78;20.01;2010
Slippery Scoundrel;U;3;Creature;Human Pirate;rix;uncommon;"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
As long as you have the city's blessing, Slippery Scoundrel has hexproof and can't be blocked.";2;2;0.17;0.04;0.66;2018
